d-step 39 epoch 3 :  average_loss = 0.0125, train_acc = 328.9860, val_acc = 0.6250
d-step 40 epoch 1 :  average_loss = 0.0152, train_acc = 328.7944, val_acc = 0.6200
d-step 40 epoch 2 :  average_loss = 0.0127, train_acc = 328.9708, val_acc = 0.6250
d-step 40 epoch 3 :  average_loss = 0.0123, train_acc = 328.9945, val_acc = 0.6300
d-step 41 epoch 1 :  average_loss = 0.0158, train_acc = 328.7641, val_acc = 0.6200
d-step 41 epoch 2 :  average_loss = 0.0127, train_acc = 328.9669, val_acc = 0.6150
d-step 41 epoch 3 :  average_loss = 0.0123, train_acc = 328.9946, val_acc = 0.6250
d-step 42 epoch 1 :  average_loss = 0.0158, train_acc = 328.7652, val_acc = 0.6100
d-step 42 epoch 2 :  average_loss = 0.0128, train_acc = 328.9626, val_acc = 0.6350
d-step 42 epoch 3 :  average_loss = 0.0123, train_acc = 328.9909, val_acc = 0.6300
d-step 43 epoch 1 :  average_loss = 0.0156, train_acc = 328.7658, val_acc = 0.6150
d-step 43 epoch 2 :  average_loss = 0.0127, train_acc = 328.9694, val_acc = 0.6250
d-step 43 epoch 3 :  average_loss = 0.0122, train_acc = 328.9989, val_acc = 0.6400
d-step 44 epoch 1 :  average_loss = 0.0156, train_acc = 328.7750, val_acc = 0.6000
d-step 44 epoch 2 :  average_loss = 0.0127, train_acc = 328.9664, val_acc = 0.6200
d-step 44 epoch 3 :  average_loss = 0.0122, train_acc = 328.9964, val_acc = 0.6200
d-step 45 epoch 1 :  average_loss = 0.0158, train_acc = 328.7548, val_acc = 0.6000
d-step 45 epoch 2 :  average_loss = 0.0126, train_acc = 328.9708, val_acc = 0.6250
d-step 45 epoch 3 :  average_loss = 0.0122, train_acc = 328.9995, val_acc = 0.6150
d-step 46 epoch 1 :  average_loss = 0.0148, train_acc = 328.8182, val_acc = 0.6050
d-step 46 epoch 2 :  average_loss = 0.0124, train_acc = 328.9841, val_acc = 0.6150
d-step 46 epoch 3 :  average_loss = 0.0120, train_acc = 329.0067, val_acc = 0.6200
d-step 47 epoch 1 :  average_loss = 0.0148, train_acc = 328.8132, val_acc = 0.6000
d-step 47 epoch 2 :  average_loss = 0.0124, train_acc = 328.9817, val_acc = 0.6200
d-step 47 epoch 3 :  average_loss = 0.0120, train_acc = 329.0043, val_acc = 0.6300
d-step 48 epoch 1 :  average_loss = 0.0149, train_acc = 328.8122, val_acc = 0.6100
d-step 48 epoch 2 :  average_loss = 0.0124, train_acc = 328.9819, val_acc = 0.6150
d-step 48 epoch 3 :  average_loss = 0.0120, train_acc = 329.0069, val_acc = 0.6200
d-step 49 epoch 1 :  average_loss = 0.0145, train_acc = 328.8369, val_acc = 0.6150
d-step 49 epoch 2 :  average_loss = 0.0122, train_acc = 328.9927, val_acc = 0.6250
d-step 49 epoch 3 :  average_loss = 0.0118, train_acc = 329.0093, val_acc = 0.6300
d-step 50 epoch 1 :  average_loss = 0.0146, train_acc = 328.8327, val_acc = 0.6200
d-step 50 epoch 2 :  average_loss = 0.0122, train_acc = 328.9892, val_acc = 0.6250
d-step 50 epoch 3 :  average_loss = 0.0119, train_acc = 329.0099, val_acc = 0.6250

Train time: 1.9362884120808708
